zoning date,Zone Cost
2013-11-08 00:00:00,475.0
2014-02-21 00:00:00,475.0
2014-08-05 00:00:00,475.0
2015-07-30 00:00:00,475.0
2016-04-04 00:00:00,475.0
1995-03-01 00:00:00,425.0
1996-02-16 00:00:00,450.0
1996-06-07 00:00:00,450.0
2005-07-22 00:00:00,599.0
2008-09-18 00:00:00,600.0
1995-09-01 00:00:00,605.0
2019-01-11 00:00:00,645.0
2000-05-26 00:00:00,540.0
2001-05-31 00:00:00,0.0
2016-03-25 00:00:00,595.0
2005-09-01 00:00:00,724.0
2005-12-02 00:00:00,759.0
2006-04-28 00:00:00,750.0
2018-02-16 00:00:00,645.0
2018-03-19 00:00:00,645.0
1997-10-10 00:00:00,515.0
1998-01-05 00:00:00,550.0
2020-11-19 00:00:00,675.0
2021-03-16 00:00:00,675.0
2021-08-17 00:00:00,695.0
2011-01-31 00:00:00,310.0
2011-02-17 00:00:00,250.0
2011-03-08 00:00:00,250.0
2011-03-22 00:00:00,250.0
2011-03-23 00:00:00,250.0
2011-04-05 00:00:00,250.0
2011-04-13 00:00:00,250.0
2011-04-14 00:00:00,250.0
2011-04-27 00:00:00,250.0
2011-05-13 00:00:00,250.0
2011-05-14 00:00:00,250.0
2011-05-27 00:00:00,250.0
2011-06-10 00:00:00,250.0
2011-06-28 00:00:00,250.0
2011-07-01 00:00:00,250.0
2011-07-05 00:00:00,250.0
2011-07-11 00:00:00,250.0
2011-07-22 00:00:00,250.0
2011-08-12 00:00:00,250.0
2011-08-22 00:00:00,250.0
2011-08-31 00:00:00,250.0
2011-09-08 00:00:00,250.0
2011-09-22 00:00:00,250.0
2011-09-28 00:00:00,250.0
2011-10-12 00:00:00,250.0
2011-10-14 00:00:00,250.0
2011-10-29 00:00:00,250.0
2011-10-31 00:00:00,250.0
2011-11-11 00:00:00,250.0
2011-11-18 00:00:00,250.0
2011-11-20 00:00:00,250.0
2011-12-12 00:00:00,250.0
2011-12-16 00:00:00,250.0
2011-12-17 00:00:00,250.0
2011-12-31 00:00:00,250.0
2012-01-05 00:00:00,250.0
2012-01-13 00:00:00,250.0
2012-01-20 00:00:00,250.0
2012-02-02 00:00:00,250.0
2012-02-06 00:00:00,250.0
2012-02-10 00:00:00,250.0
2012-02-23 00:00:00,250.0
2012-03-05 00:00:00,250.0
2012-03-06 00:00:00,250.0
2012-03-23 00:00:00,250.0
2012-03-28 00:00:00,250.0
2012-04-05 00:00:00,250.0
2012-04-17 00:00:00,250.0
2012-04-19 00:00:00,250.0
2012-05-03 00:00:00,250.0
2012-05-07 00:00:00,250.0
2012-05-16 00:00:00,250.0
2012-05-25 00:00:00,250.0
2012-05-28 00:00:00,250.0
2012-06-12 00:00:00,250.0
2012-06-22 00:00:00,250.0
2012-06-26 00:00:00,250.0
2012-07-01 00:00:00,250.0
2012-07-14 00:00:00,250.0
2012-07-17 00:00:00,250.0
2012-08-15 00:00:00,250.0
2012-08-22 00:00:00,250.0
2012-09-07 00:00:00,250.0
2012-09-13 00:00:00,250.0
2012-09-20 00:00:00,250.0
2012-10-02 00:00:00,250.0
2012-10-03 00:00:00,250.0
2012-10-12 00:00:00,250.0
2012-10-29 00:00:00,250.0
2012-11-01 00:00:00,250.0
2012-11-14 00:00:00,250.0
2012-11-15 00:00:00,250.0
2012-11-26 00:00:00,250.0
2012-12-05 00:00:00,250.0
2012-12-06 00:00:00,250.0
2012-12-19 00:00:00,250.0
2012-12-27 00:00:00,250.0
2013-01-19 00:00:00,250.0
2013-01-24 00:00:00,250.0
2013-01-31 00:00:00,250.0
2013-02-06 00:00:00,250.0
2013-02-25 00:00:00,250.0
2013-02-26 00:00:00,250.0
2013-03-07 00:00:00,325.0
2013-04-08 00:00:00,325.0
2013-04-09 00:00:00,325.0
2013-05-06 00:00:00,325.0
2013-05-07 00:00:00,325.0
2013-06-10 00:00:00,400.0
2013-07-11 00:00:00,400.0
2013-08-02 00:00:00,400.0
2013-08-09 00:00:00,400.0
2013-09-09 00:00:00,400.0
2013-09-16 00:00:00,400.0
2013-09-27 00:00:00,400.0
2013-10-01 00:00:00,400.0
2013-10-16 00:00:00,400.0
2013-10-18 00:00:00,400.0
2013-11-07 00:00:00,400.0
2013-11-08 00:00:00,400.0
2013-12-10 00:00:00,400.0
2013-12-18 00:00:00,400.0
2014-01-20 00:00:00,400.0
2014-01-27 00:00:00,400.0
2014-01-31 00:00:00,400.0
2014-02-06 00:00:00,335.0
2014-02-21 00:00:00,325.0
2014-02-27 00:00:00,325.0
2014-03-14 00:00:00,325.0
2014-04-01 00:00:00,325.0
2014-04-11 00:00:00,325.0
2014-04-29 00:00:00,325.0
2014-05-01 00:00:00,325.0
2014-05-16 00:00:00,325.0
2014-05-30 00:00:00,325.0
2014-06-06 00:00:00,325.0
2014-06-23 00:00:00,325.0
2014-08-01 00:00:00,325.0
2014-08-05 00:00:00,325.0
2014-08-22 00:00:00,325.0
2014-08-28 00:00:00,325.0
2014-09-09 00:00:00,325.0
2014-10-03 00:00:00,325.0
2014-10-09 00:00:00,325.0
2014-10-23 00:00:00,325.0
2014-11-03 00:00:00,325.0
2014-11-17 00:00:00,325.0
2014-11-21 00:00:00,325.0
